trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.9, 'e': 0.00018261504747991235}",25,19,9.020502165227853,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.9, 'e': 0.00017777777777777779}",20,0,24.413229820987656,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.9, 'e': 0.00017313019390581717}",25,10,27.505147203114678,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.00016866250632484398}",20,10,19.94426781561054,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.9, 'e': 0.0001643655489809336}",30,0,32.06434963543565,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.9, 'e': 0.0001602307322544464}",20,0,30.100538201823678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.9, 'e': 0.00015625}",20,11,14.374404438798955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.00015241579027587258}",30,20,19.416510531769273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.9, 'e': 0.000148720999405116}",20,7,22.45011080715289,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.00014515894904920887}",25,0,33.2995109561975,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.0001417233560090703}",25,3,31.036219820113796,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.0001384083044982699}",25,17,11.127515559515041,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.00013520822065981613}",20,9,16.746706344062737,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.0001321178491214163}",30,5,39.33395501481922,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.00012913223140495868}",20,0,27.033049423510068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.9, 'e': 0.00012624668602449185}",25,9,21.752835273441534,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.0001234567901234568}",30,4,38.59233420961745,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.00012075836251660427}",20,0,7.233865447210237,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
92,False,"{'a': 0.9, 'e': 0.00011814744801512288}",20,1,32.243581317861555,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.00011562030292519366}",20,16,7.752875118665879,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.00011317338162064282}",20,16,7.090645691272936,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.00011080332409972299}",20,8,23.959467406935328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.00010850694444444444}",20,10,16.304870982835283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.9, 'e': 0.00010628122010840685}",20,2,21.411706635429226,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.00010412328196584757}",20,16,8.799742499582857,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.9, 'e': 0.00010203040506070809}",20,16,4.862393898228661,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9, 'e': 0.0001}",20,10,15.295109354035738,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 9.802960494069208e-05}",25,12,22.620200738608904,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,19.19138355867803,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,24.3437653354046,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,6.879332859382477,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,27.005001501626857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,23,21.5549594981722,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,13.729102760468448,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,36.61774109617847,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,18,10.069889387967896,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,21.12016636456783,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,20,17.988780047611233,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
