trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.91}",20,0,-136.81185596761964,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.8281000000000001}",20,0,-90.03598582633249,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.7535710000000001}",20,0,-38.830530477652076,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.6857496100000001}",20,0,-77.43632085789366,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.6240321451000002}",30,0,-171.4922148446251,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.5678692520410001}",30,6,-47.674739970060216,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
7,False,"{'a': 0.9, 'e': 0.5167610193573101}",20,0,-95.72181709064819,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.47025252761515224}",20,0,-79.00111457408299,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.42792980012978854}",20,0,-4.806405619459002,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.3894161181181076}",25,5,-54.587431895471184,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.3543686674874779}",20,0,-25.474456349278007,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.32247548741360493}",20,0,-91.85145145032904,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.2934526935463805}",20,6,-2.4094761110174954,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
