trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.68523050066587032}",25,0,-15.65910547225703,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.67909109492663688}",25,0,-77.30029630098196,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",1
44,False,"{'a': 0.9, 'e': 0.67300669593738649}",20,2,-12.891204641027134,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.66697681085847438}",25,0,-50.435313366798454,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.66100095126591252}",20,0,-63.25776732276266,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.9, 'e': 0.65507863311180625}",25,0,-103.26951388298274,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",1
48,False,"{'a': 0.9, 'e': 0.64920937668514744}",20,5,-97.40464662133842,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
49,False,"{'a': 0.9, 'e': 0.64339270657295622}",20,0,-25.446987574599838,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.9, 'e': 0.63762815162177333}",20,0,-40.46892049288966,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.63191524489949591}",30,0,-57.121104529554614,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
52,False,"{'a': 0.9, 'e': 0.62625352365755593}",30,0,-56.40513237042327,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.62064252929343733}",25,0,-232.1145844119545,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 5}",0
54,False,"{'a': 0.9, 'e': 0.61508180731352868}",25,6,-137.8055990843031,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 3}",1
55,False,"{'a': 0.9, 'e': 0.60957090729630936}",30,0,-7.607006581705122,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.60410938285586468}",20,0,-113.71204389438228,"{0: 9, 1: 7, 2: 1, 3: 2, 4: 1}",0
57,False,"{'a': 0.9, 'e': 0.59869679160572919}",20,1,-67.39554735267414,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.9, 'e': 0.59333269512305209}",20,0,-87.4868024868185,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.58801665891308541}",30,16,-21.73635871645256,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.9, 'e': 0.58274825237398975}",20,0,-68.33221868069904,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
